SRA,contig,contig_length,circularity,classification
SRR14010955,1,300900,0,chromosome
SRR14010955,2,222935,0,chromosome
SRR14010955,3,218223,0,chromosome
SRR14010955,4,190024,0,chromosome
SRR14010955,5,165277,0,chromosome
SRR14010955,6,162326,0,chromosome
SRR14010955,7,111803,0,chromosome
SRR14010955,8,107984,0,chromosome
SRR14010955,9,103917,0,chromosome
SRR14010955,10,96684,0,chromosome
SRR14010955,11,93752,0,chromosome
SRR14010955,12,82655,0,chromosome
SRR14010955,13,68138,0,chromosome
SRR14010955,14,61538,0,chromosome
SRR14010955,15,60518,0,chromosome
SRR14010955,16,57627,0,chromosome
SRR14010955,17,54625,0,chromosome
SRR14010955,18,54351,0,chromosome
SRR14010955,19,53595,0,chromosome
SRR14010955,20,52773,0,chromosome
SRR14010955,21,51231,0,chromosome
SRR14010955,22,46289,0,chromosome
SRR14010955,23,45753,0,chromosome
SRR14010955,24,36572,0,chromosome
SRR14010955,25,36237,0,chromosome
SRR14010955,26,35499,0,chromosome
SRR14010955,27,35065,0,chromosome
SRR14010955,28,32453,0,chromosome
SRR14010955,29,31451,0,chromosome
SRR14010955,30,31029,0,chromosome
SRR14010955,31,30838,0,chromosome
SRR14010955,32,29212,0,chromosome
SRR14010955,33,28163,0,chromosome
SRR14010955,34,26876,0,chromosome
SRR14010955,35,25485,0,chromosome
SRR14010955,36,25443,0,chromosome
SRR14010955,37,24706,0,chromosome
SRR14010955,38,22198,0,chromosome
SRR14010955,39,21999,0,chromosome
SRR14010955,40,21376,0,chromosome
SRR14010955,41,20268,0,chromosome
SRR14010955,42,17759,0,chromosome
SRR14010955,43,17262,0,chromosome
SRR14010955,44,16425,0,chromosome
SRR14010955,45,15238,0,chromosome
SRR14010955,46,14608,0,chromosome
SRR14010955,47,14082,0,chromosome
SRR14010955,48,13089,0,chromosome
SRR14010955,49,11448,0,chromosome
SRR14010955,50,11412,0,chromosome
SRR14010955,51,11259,0,chromosome
SRR14010955,52,11206,1,plasmid
SRR14010955,53,10764,0,chromosome
SRR14010955,54,10100,0,chromosome
SRR14010955,55,9600,0,chromosome
SRR14010955,56,9151,0,chromosome
SRR14010955,57,8487,0,chromosome
SRR14010955,58,7894,0,chromosome
SRR14010955,59,7295,1,plasmid
SRR14010955,60,6503,0,chromosome
SRR14010955,61,6026,0,chromosome
SRR14010955,62,5730,0,chromosome
SRR14010955,63,5725,0,chromosome
SRR14010955,64,5449,0,chromosome
SRR14010955,65,5373,0,chromosome
SRR14010955,66,5087,1,plasmid
SRR14010955,67,4460,1,plasmid
SRR14010955,68,4422,0,chromosome
SRR14010955,69,4312,0,chromosome
SRR14010955,70,3979,0,chromosome
SRR14010955,71,3404,0,chromosome
SRR14010955,72,3396,0,chromosome
SRR14010955,73,3240,0,chromosome
SRR14010955,74,3221,1,plasmid
SRR14010955,75,3220,0,chromosome
SRR14010955,76,2981,0,chromosome
SRR14010955,77,2858,0,chromosome
SRR14010955,78,2838,0,chromosome
SRR14010955,79,2726,0,chromosome
SRR14010955,80,2440,0,chromosome
SRR14010955,81,2407,0,chromosome
SRR14010955,82,2379,0,chromosome
SRR14010955,83,2267,0,chromosome
SRR14010955,84,2236,0,chromosome
SRR14010955,85,1993,0,chromosome
SRR14010955,86,1930,0,chromosome
SRR14010955,87,1789,0,chromosome
SRR14010955,88,1772,0,chromosome
SRR14010955,89,1694,0,chromosome
SRR14010955,90,1617,0,chromosome
SRR14010955,91,1589,0,chromosome
SRR14010955,92,1514,0,chromosome
SRR14010955,93,1493,0,chromosome
SRR14010955,94,1462,0,chromosome
SRR14010955,95,1394,0,chromosome
SRR14010955,96,1389,0,chromosome
SRR14010955,97,1376,0,chromosome
SRR14010955,98,1131,0,chromosome
SRR14010955,99,994,0,chromosome
SRR14010955,100,965,0,chromosome
SRR14010955,101,942,0,chromosome
SRR14010955,102,739,0,chromosome
SRR14010955,103,739,0,chromosome
SRR14010955,104,699,0,chromosome
SRR14010955,105,659,0,chromosome
SRR14010955,106,503,0,chromosome
SRR14010955,107,462,0,chromosome
SRR14026549,10,93295,0,chromosome
SRR14026549,11,90742,0,chromosome
SRR14026549,12,66212,0,chromosome
SRR14026549,13,65572,0,chromosome
SRR14026549,14,60210,0,chromosome
SRR14026549,15,59158,0,chromosome
SRR14026549,16,51090,0,chromosome
SRR14026549,17,49992,0,chromosome
SRR14026549,18,47093,0,chromosome
SRR14026549,19,46517,0,chromosome
SRR14026549,1,179358,0,chromosome
SRR14026549,20,46353,0,chromosome
SRR14026549,21,45485,0,chromosome
SRR14026549,22,43392,0,chromosome
SRR14026549,23,41613,0,chromosome
SRR14026549,24,39684,0,chromosome
SRR14026549,25,38780,0,chromosome
SRR14026549,26,38603,0,chromosome
SRR14026549,27,30389,0,chromosome
SRR14026549,28,27007,0,chromosome
SRR14026549,29,25705,0,chromosome
SRR14026549,2,154340,0,chromosome
SRR14026549,30,24171,0,chromosome
SRR14026549,31,22403,0,chromosome
SRR14026549,32,19863,0,chromosome
SRR14026549,33,17289,0,chromosome
SRR14026549,34,16988,0,chromosome
SRR14026549,35,16313,0,chromosome
SRR14026549,36,15901,0,chromosome
SRR14026549,37,15583,0,chromosome
SRR14026549,38,14744,0,chromosome
SRR14026549,39,11889,0,chromosome
SRR14026549,3,144933,0,chromosome
SRR14026549,40,11516,0,chromosome
SRR14026549,41,11351,0,chromosome
SRR14026549,42,11011,0,chromosome
SRR14026549,43,10764,0,chromosome
SRR14026549,44,9588,0,chromosome
SRR14026549,45,8600,0,chromosome
SRR14026549,46,8010,0,chromosome
SRR14026549,47,6421,0,chromosome
SRR14026549,48,5433,0,chromosome
