,nb_plasmid_ctg,len_plasmid_ctg,nb_ctg,len_ctg,nb_short_ctg,pb,hy,mob,psp
SRR14000614,1.0,81219.0,83.0,4739395.0,21.0,0.6571036713074107,0.8765945164626447,1.0,0.8456853060238052
SRR14024961,0.0,0.0,69.0,2601957.0,23.0,,,,
SRR13726590,3.0,10245.0,69.0,3581631.0,0.0,,,,
SRR13727011,0.0,0.0,64.0,3157018.0,37.0,1.0,1.0,1.0,1.0
SRR13726582,2.0,6313.0,52.0,3722703.0,0.0,,,,
SRR13999927,1.0,4802.0,49.0,4077773.0,13.0,0.9737667304015296,1.0,0.8794920698654889,0.9889324492199474
SRR13726551,0.0,0.0,45.0,3595865.0,3.0,1.0,1.0,1.0,1.0
SRR13999934,4.0,20126.0,45.0,2854750.0,5.0,0.6447946966109721,0.9984235824701757,0.7278136564835643,0.8841731398201145
SRR13727008,1.0,5121.0,34.0,2890077.0,9.0,1.0,0.9966374735548228,0.9760279743849005,0.9213955701545687
SRR13712363,1.0,3120.0,26.0,2835206.0,4.0,1.0,0.9607823419980894,0.94280057199428,0.9394844540993463
SRR14000594,1.0,25486.0,26.0,3047410.0,13.0,0.8502374012786762,0.9784244954696181,1.0,0.8960277085381625
SRR13725703,0.0,0.0,22.0,3037683.0,10.0,1.0,1.0,1.0,1.0
SRR13726554,1.0,5143.0,22.0,3039453.0,5.0,0.8951456706558747,0.989980537735169,0.5,0.9829870989083692
SRR13725727,1.0,70454.0,17.0,3141472.0,0.0,,,,
SRR13712377,0.0,0.0,17.0,2978412.0,9.0,,1.0,1.0,1.0
SRR14000019,0.0,0.0,16.0,3537882.0,0.0,1.0,1.0,1.0,1.0
SRR13726529,1.0,46574.0,15.0,3059519.0,1.0,0.8957605184107612,0.5433689073618863,0.8971585192381084,0.7638656707974821
SRR14000592,2.0,73913.0,14.0,3116887.0,2.0,0.7484326819007944,0.9452273043895817,0.6530754969374105,0.5899308427332078
SRR13726561,2.0,18647.0,14.0,2996558.0,2.0,1.0,0.9608609869235775,1.0,0.9700116595413913
SRR13712371,4.0,80150.0,13.0,3076291.0,0.0,0.7682009450151626,0.6598549371286889,0.656381891321551,0.8968576032420955
SRR13726578,0.0,0.0,13.0,3411360.0,1.0,1.0,1.0,1.0,1.0
SRR13712375,5.0,205615.0,12.0,3242834.0,0.0,0.8558595658088131,0.8702476712328767,0.8560013540865911,0.5427016620061339
SRR13712383,3.0,75487.0,12.0,3120776.0,0.0,0.8442223254794062,0.9479629688448159,1.0,0.8650572758188653
SRR13999995,0.0,0.0,12.0,3270249.0,0.0,1.0,1.0,,1.0
SRR13999918,0.0,0.0,12.0,3586571.0,0.0,1.0,1.0,,1.0
SRR13727002,2.0,6623.0,11.0,3093240.0,2.0,1.0,0.990020010835743,0.3741544385471953,
SRR13725706,0.0,0.0,10.0,2994566.0,2.0,1.0,1.0,1.0,1.0
SRR13712391,3.0,133334.0,10.0,3083004.0,0.0,0.14215335900332787,0.9489478597034594,0.6141962570632263,0.4352233312097402
SRR13726557,3.0,132974.0,10.0,3278337.0,0.0,0.760271824906018,0.6312565885162995,0.5340436946858033,0.6781986696809489
SRR13727000,1.0,55074.0,9.0,3225864.0,0.0,0.4656318649554862,0.6834926128952507,0.7104576415636582,0.9308327950043066
SRR13726569,1.0,3174.0,9.0,3198585.0,0.0,0.0,1.0,0.9698217256952698,0.9895441113977091
SRR13999953,0.0,0.0,9.0,3193386.0,2.0,1.0,1.0,1.0,1.0
SRR13727003,2.0,10065.0,9.0,3273552.0,0.0,1.0,1.0,0.9838131788042342,0.9926614153578831
SRR13726512,2.0,120768.0,7.0,3652176.0,0.0,0.5996211672783237,0.7958386388583973,0.623172357686832,0.8784888558317785
SRR13725714,0.0,0.0,7.0,3127071.0,1.0,,,,
SRR13712379,3.0,113999.0,7.0,2989839.0,0.0,0.23262196423236162,0.13429130989251228,0.6129921538135293,0.5954332617810947
SRR13712366,3.0,114883.0,7.0,2985164.0,0.0,0.735176282051282,0.96434909681188,0.6332268585454424,0.8056428723189819
SRR13726564,0.0,0.0,6.0,2945217.0,0.0,1.0,1.0,,1.0
SRR14000598,0.0,0.0,6.0,3021537.0,0.0,1.0,1.0,,1.0
SRR13999996,1.0,67619.0,6.0,3306242.0,0.0,0.785830538160308,0.7992144881442804,0.7518508086285003,0.8455618349437627
SRR13999990,0.0,0.0,5.0,3136895.0,0.0,,,,
SRR13726589,1.0,36331.0,5.0,3339502.0,0.0,1.0,1.0,1.0,1.0
SRR13726536,2.0,73897.0,5.0,3441227.0,0.0,0.7339306215248858,0.9666213880637321,0.611938879528445,0.9349898763296229
SRR13999994,1.0,53457.0,5.0,3062438.0,0.0,0.08368329933663587,0.960451584503786,0.5,0.7877435467796435
SRR13712361,1.0,109621.0,4.0,3096512.0,0.0,0.5278624822247401,0.902472044417112,1.0,0.8987475384744608
SRR13726594,2.0,69751.0,4.0,3148516.0,0.0,0.7427868920777363,1.0,0.06509997701677775,
SRR13999940,1.0,70797.0,4.0,3031283.0,2.0,0.7243618694616187,0.9340492683526663,0.5301935404925867,0.6371529535921202
SRR13726587,1.0,68100.0,3.0,2946606.0,0.0,0.6828978514202476,0.6911970707142351,0.6900263705759889,0.9609735978045796
SRR13999931,2.0,128094.0,3.0,3044440.0,0.0,,0.9501690665429388,0.6056558641302927,0.4503542237629393
SRR13712518,0.0,0.0,3.0,3075782.0,0.0,,,,
SRR13727034,1.0,126150.0,3.0,2932058.0,0.0,0.883393153486936,0.9815682057739514,1.0,0.9377289975377662
SRR14000004,0.0,0.0,3.0,3150800.0,0.0,,,,
SRR13727026,1.0,46200.0,2.0,2950657.0,0.0,0.4454459803411472,0.7551527118154864,1.0,1.0
SRR13999937,1.0,68770.0,2.0,3219984.0,0.0,0.7172890664824956,0.9700769040458216,1.0,0.692521653719082
SRR13726504,1.0,66919.0,2.0,2883716.0,0.0,0.25649547560709346,0.9224929991000639,1.0,0.15515365787326624
SRR13725701,1.0,72492.0,2.0,3003902.0,0.0,0.5824330129582016,0.9518577914867585,0.6499423338087666,0.5143352236925016
SRR14000005,1.0,61108.0,2.0,2977711.0,0.0,0.0,0.0,0.5,1.0
SRR13727025,1.0,62360.0,2.0,2817120.0,0.0,0.04848093083387201,0.18609831321631193,1.0,0.957030768044417
SRR14000018,1.0,57860.0,2.0,2875247.0,0.0,0.0,0.9717230145631851,1.0,0.4018401736793136
SRR13712384,0.0,0.0,1.0,2823529.0,0.0,,,,
