Isolate,,Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,,Total length Illumina assemblies
FC_00497J,0,SRR13726582_assembly_complete,52,52,36,28,15,6,3722703,3722703,3681823,3624621,3431788,3136790,52,2795695,3722703,37.43,2795695,2795695,1,1,0,,"2,824,553"
FC_0192A,0,SRR13726578_assembly_complete,13,12,10,9,5,4,3411360,3411212,3402188,3397138,3326165,3294352,12,2821461,3411212,37.52,2821461,2821461,1,1,0,,"2,878,095"
HC_NS1336,0,SRR14000004_assembly_complete,3,3,3,3,3,2,3150800,3150800,3150800,3150800,3150800,3120257,3,3049773,3150800,37.2,3049773,3049773,1,1,0,,"3,111,692"
HC_NS0108,0,SRR13999996_assembly_complete,6,6,6,4,3,3,3306242,3306242,3306242,3293060,3276418,3276418,6,3031713,3306242,37.21,3031713,3031713,1,1,0,,"3,048,323"
EntR_0190,0,SRR13727011_assembly_complete,64,27,11,8,4,3,3157018,3141421,3106862,3085649,3018261,2989143,41,2823837,3150559,37.19,2823837,2823837,1,1,0,,"3,012,128"
BP-R51-2,0,SRR13712391_assembly_complete,10,10,5,4,4,3,3083004,3083004,3069767,3062714,3062714,3021417,10,2863673,3083004,37.44,2863673,2863673,1,1,0,,"3,023,160"
BP-G109-2,0,SRR13712379_assembly_complete,7,7,6,4,4,3,2989839,2989839,2985598,2974426,2974426,2948940,7,2741577,2989839,37.66,2741577,2741577,1,1,0,,"2,853,521"
CB_0103B,0,SRR13727026_assembly_complete,2,2,2,2,2,1,2950657,2950657,2950657,2950657,2950657,2904457,2,2904457,2950657,37.34,2904457,2904457,1,1,0,,"2,936,762"
SWEntR 0295,0,SRR13727008_assembly_complete,34,25,21,20,19,12,2890077,2885980,2878082,2872961,2853640,2601914,30,515350,2889176,37.54,308041,179344,4,7,0,,"2,898,684"
BP-R37-3,0,SRR13712366_assembly_complete,7,7,7,4,3,3,2985164,2985164,2985164,2960944,2948454,2948454,7,2784716,2985164,37.41,2784716,2784716,1,1,0,,"2,931,955"
WW_0141K,0,SRR13725727_assembly_complete,17,17,6,6,3,2,3141472,3141472,3110746,3110746,3051728,3022512,17,2952058,3141472,37.3,2952058,2952058,1,1,0,,"3,089,197"
WW_0089C,0,SRR13726561_assembly_complete,14,12,8,5,2,2,2996558,2995993,2984400,2964286,2914914,2914914,12,2850286,2995993,37.61,2850286,2850286,1,1,0,,"2,832,231"
WW_0063I,0,SRR13726536_assembly_complete,5,5,5,4,4,4,3441227,3441227,3441227,3436098,3436098,3436098,5,3024283,3441227,37.37,3024283,3024283,1,1,0,,"3,052,869"
HC_NS0383,0,SRR14000005_assembly_complete,2,2,2,2,2,2,2977711,2977711,2977711,2977711,2977711,2977711,2,2916603,2977711,37.25,2916603,2916603,1,1,0,,"2,967,841"
HC_NS0209,0,SRR13999927_assembly_complete,49,36,28,24,19,15,4077773,4072381,4050986,4024516,3940545,3802931,41,1102726,4076020,37.39,1001704,159412,2,7,0,,"2,918,324"
WW_0060C,0,SRR13726529_assembly_complete,15,14,10,6,2,1,3059519,3059387,3049730,3027454,2968825,2922251,14,2922251,3059387,37.39,2922251,2922251,1,1,0,,"2,881,747"
HC_SS0038,0,SRR14000594_assembly_complete,26,13,6,6,5,1,3047410,3041853,3027857,3027857,3009895,2851778,17,2851778,3044974,37.3,2851778,2851778,1,1,0,,"2,943,457"
WW_0137L,0,SRR13726551_assembly_complete,45,42,27,16,9,5,3595865,3594135,3557235,3480220,3374094,3233931,44,2954805,3595674,37.22,2954805,2954805,1,1,0,,"3,119,151"
FC_0797A,0,SRR13726564_assembly_complete,6,6,4,4,3,2,2945217,2945217,2942825,2942825,2919973,2871500,6,2759402,2945217,37.55,2759402,2759402,1,1,0,,"2,856,269"
FC_0213I,0,SRR13726590_assembly_complete,69,69,46,31,16,10,3581631,3581631,3517710,3410383,3161398,2942508,69,1342491,3581631,37.7,582273,104538,2,7,0,,"2,927,488"
FC_0555J,0,SRR13726587_assembly_complete,3,3,3,3,3,3,2946606,2946606,2946606,2946606,2946606,2946606,3,2772310,2946606,37.36,2772310,2772310,1,1,0,,"2,905,544"
SW_1158,0,SRR13727000_assembly_complete,9,9,9,8,7,5,3225864,3225864,3225864,3216454,3195050,3111621,9,2705760,3225864,37.47,2705760,2705760,1,1,0,,"2,890,289"
WW_0061A,0,SRR13726554_assembly_complete,22,17,4,3,2,1,3039453,3037835,3005414,3000271,2982365,2953738,18,2953738,3038776,37.55,2953738,2953738,1,1,0,,"2,886,538"
HC_NS0004,0,SRR13999953_assembly_complete,9,7,5,5,5,4,3193386,3192684,3186519,3186519,3186519,3149082,7,2979364,3192684,37,2979364,2979364,1,1,0,,"3,119,944"
BP-G69E-3,0,SRR13712377_assembly_complete,17,8,2,2,2,2,2978412,2975476,2957898,2957898,2957898,2957898,8,2805345,2975476,37.57,2805345,2805345,1,1,0,,"2,960,831"
HC_SS0025,0,SRR14000592_assembly_complete,14,12,11,9,7,6,3116887,3116322,3115318,3102474,3062801,3022019,12,1304213,3116322,37.37,805213,605349,2,3,0,,"2,888,472"
